STATE,YEAR,GRAIN,TEMP_MEAN,TEMP_MIN,TEMP_MAX,PCP_SUM,PDSI_MEAN
MISSOURI,1947,25.0,54.400000000000006,16.8,95.5,40.440000000000005,-0.2591666666666666
NEBRASKA,1947,20.0,48.30833333333334,11.0,92.7,23.05,1.2566666666666666
ILLINOIS,1948,61.0,51.675,11.8,86.2,36.73,-0.345
INDIANA,1948,57.0,51.49166666666667,11.1,86.0,42.19,0.1191666666666666
IOWA,1948,60.5,47.75,6.0,86.4,28.52,-1.7525000000000002
MINNESOTA,1948,54.0,40.166666666666664,-8.1,81.5,22.85,-1.1425
MISSOURI,1948,45.0,54.11666666666667,14.4,87.4,39.61,-0.0325
NEBRASKA,1948,35.0,48.25,10.3,87.9,21.35,-0.2024999999999999
ILLINOIS,1949,54.0,52.75833333333333,20.8,88.0,40.8,0.3883333333333333
INDIANA,1949,50.0,53.041666666666664,23.8,88.4,45.03,1.6291666666666669
IOWA,1949,47.0,48.0,7.3,86.9,28.16,-0.7983333333333333
MINNESOTA,1949,44.0,40.69166666666667,-5.8,81.6,26.58,-0.9775
MISSOURI,1949,39.0,54.64166666666667,20.9,87.7,47.53,1.794166666666667
